📊 Episode 50 (Route 0): Reward=-12.29, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.99, TTC_Penalty=-2.69, AccPenalty=-0.28, LowSpeedPenalty=-0.32, Actor Loss=-0.451110, Critic1 Loss=0.007086, Critic2 Loss=0.007731, Alpha=0.1681, AvgQ=0.3363, AvgLogPi=-0.6833, Steps to Finish=199
📊 Episode 51 (Route 0): Reward=-14.98, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.97, TTC_Penalty=-2.56, AccPenalty=-0.08, LowSpeedPenalty=-3.32, Actor Loss=-0.456190, Critic1 Loss=0.012069, Critic2 Loss=0.012849, Alpha=0.1663, AvgQ=0.3424, AvgLogPi=-0.6842, Steps to Finish=552
📊 Episode 52 (Route 0): Reward=2.05, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=2.00, SP_Penalty=0.00, SpeedReward=2.79, TTC_Penalty=-0.85, AccPenalty=0.00, LowSpeedPenalty=-1.89, Actor Loss=-0.464335, Critic1 Loss=0.002986, Critic2 Loss=0.002902, Alpha=0.1640, AvgQ=0.3527, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 53 (Route 0): Reward=-3.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.88, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.56, Actor Loss=-0.474087, Critic1 Loss=0.006857, Critic2 Loss=0.008006, Alpha=0.1617, AvgQ=0.3636, AvgLogPi=-0.6828, Steps to Finish=700
📊 Episode 54 (Route 0): Reward=-5.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.30, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.59, Actor Loss=-0.482051, Critic1 Loss=0.005297, Critic2 Loss=0.007683, Alpha=0.1595, AvgQ=0.3731, AvgLogPi=-0.6828, Steps to Finish=700
📊 Episode 55 (Route 0): Reward=-4.48, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.59, TTC_Penalty=-0.04, AccPenalty=0.00, LowSpeedPenalty=-5.02, Actor Loss=-0.487715, Critic1 Loss=0.006952, Critic2 Loss=0.012139, Alpha=0.1573, AvgQ=0.3806, AvgLogPi=-0.6806, Steps to Finish=700
📊 Episode 56 (Route 0): Reward=0.36, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=2.44, TTC_Penalty=-0.00, AccPenalty=0.00, LowSpeedPenalty=-3.08, Actor Loss=-0.497666, Critic1 Loss=0.006139, Critic2 Loss=0.011981, Alpha=0.1552, AvgQ=0.3919, AvgLogPi=-0.6816, Steps to Finish=700
📊 Episode 57 (Route 0): Reward=-3.95, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.71, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.66, Actor Loss=-0.510155, Critic1 Loss=0.003920, Critic2 Loss=0.003033, Alpha=0.1530, AvgQ=0.4061, AvgLogPi=-0.6800, Steps to Finish=700
📊 Episode 58 (Route 0): Reward=-3.65, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.49, Actor Loss=-0.515047, Critic1 Loss=0.004899, Critic2 Loss=0.006937, Alpha=0.1510, AvgQ=0.4123, AvgLogPi=-0.6809, Steps to Finish=700
📊 Episode 59 (Route 0): Reward=-3.50, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.94, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.44, Actor Loss=-0.518049, Critic1 Loss=0.005477, Critic2 Loss=0.011303, Alpha=0.1489, AvgQ=0.4168, AvgLogPi=-0.6799, Steps to Finish=700
📊 Episode 60 (Route 0): Reward=-3.85, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.29, TTC_Penalty=-1.06, AccPenalty=-0.09, LowSpeedPenalty=-3.99, Actor Loss=-0.531357, Critic1 Loss=0.004218, Critic2 Loss=0.007289, Alpha=0.1468, AvgQ=0.4309, AvgLogPi=-0.6839, Steps to Finish=700
📊 Episode 61 (Route 0): Reward=-3.69, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.75, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.44, Actor Loss=-0.539886, Critic1 Loss=0.004546, Critic2 Loss=0.006367, Alpha=0.1448, AvgQ=0.4414, AvgLogPi=-0.6798, Steps to Finish=700
📊 Episode 62 (Route 0): Reward=-3.42, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.31, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.72, Actor Loss=-0.549947, Critic1 Loss=0.004452, Critic2 Loss=0.007329, Alpha=0.1428, AvgQ=0.4526, AvgLogPi=-0.6817, Steps to Finish=700
📊 Episode 63 (Route 0): Reward=-4.09, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.94, TTC_Penalty=-0.45, AccPenalty=0.00, LowSpeedPenalty=-4.57, Actor Loss=-0.558778, Critic1 Loss=0.004576, Critic2 Loss=0.007069, Alpha=0.1409, AvgQ=0.4628, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 64 (Route 0): Reward=-14.89, GoalReward=0.0, CollisionPenalty=-10.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.15, TTC_Penalty=-2.90, AccPenalty=-0.45, LowSpeedPenalty=-2.69, Actor Loss=-0.566458, Critic1 Loss=0.004365, Critic2 Loss=0.006571, Alpha=0.1394, AvgQ=0.4715, AvgLogPi=-0.6808, Steps to Finish=541
📊 Episode 65 (Route 0): Reward=-5.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.34, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.37, Actor Loss=-0.575534, Critic1 Loss=0.004585, Critic2 Loss=0.007671, Alpha=0.1375, AvgQ=0.4825, AvgLogPi=-0.6768, Steps to Finish=700
📊 Episode 66 (Route 0): Reward=-1.29, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=2.03, TTC_Penalty=-1.97, AccPenalty=0.21, LowSpeedPenalty=-2.56, Actor Loss=-0.582267, Critic1 Loss=0.005231, Critic2 Loss=0.009512, Alpha=0.1356, AvgQ=0.4900, AvgLogPi=-0.6805, Steps to Finish=700
