📊 Episode 38 (Route 0): Reward=-3.42, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-0.01, SpeedReward=0.99, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.40, Actor Loss=-0.344297, Critic1 Loss=0.017198, Critic2 Loss=0.012859, Alpha=0.2030, AvgQ=0.2060, AvgLogPi=-0.6814, Steps to Finish=700
📊 Episode 39 (Route 0): Reward=-3.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.83, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.51, Actor Loss=-0.367894, Critic1 Loss=0.016001, Critic2 Loss=0.012274, Alpha=0.2002, AvgQ=0.2311, AvgLogPi=-0.6834, Steps to Finish=700
📊 Episode 40 (Route 0): Reward=-5.89, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-3.92, SpeedReward=1.30, TTC_Penalty=0.00, AccPenalty=0.11, LowSpeedPenalty=-3.38, Actor Loss=-0.383447, Critic1 Loss=0.014240, Critic2 Loss=0.010908, Alpha=0.1974, AvgQ=0.2487, AvgLogPi=-0.6823, Steps to Finish=700
📊 Episode 41 (Route 0): Reward=-4.58, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.54, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.11, Actor Loss=-0.398778, Critic1 Loss=0.011920, Critic2 Loss=0.009857, Alpha=0.1947, AvgQ=0.2658, AvgLogPi=-0.6826, Steps to Finish=700
📊 Episode 42 (Route 0): Reward=-5.40, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.19, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.59, Actor Loss=-0.413994, Critic1 Loss=0.011188, Critic2 Loss=0.009345, Alpha=0.1921, AvgQ=0.2831, AvgLogPi=-0.6814, Steps to Finish=700
📊 Episode 43 (Route 0): Reward=-4.81, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.41, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.22, Actor Loss=-0.426851, Critic1 Loss=0.011758, Critic2 Loss=0.009601, Alpha=0.1894, AvgQ=0.2974, AvgLogPi=-0.6832, Steps to Finish=700
📊 Episode 44 (Route 0): Reward=-4.97, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.34, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.31, Actor Loss=-0.440951, Critic1 Loss=0.010590, Critic2 Loss=0.009049, Alpha=0.1868, AvgQ=0.3135, AvgLogPi=-0.6824, Steps to Finish=700
📊 Episode 45 (Route 0): Reward=-1.84, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.64, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.48, Actor Loss=-0.457072, Critic1 Loss=0.010015, Critic2 Loss=0.008848, Alpha=0.1843, AvgQ=0.3313, AvgLogPi=-0.6823, Steps to Finish=700
📊 Episode 46 (Route 0): Reward=-4.22, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=-1.06, SpeedReward=1.05, TTC_Penalty=0.00, AccPenalty=-0.05, LowSpeedPenalty=-4.17, Actor Loss=-0.464477, Critic1 Loss=0.009251, Critic2 Loss=0.008307, Alpha=0.1817, AvgQ=0.3407, AvgLogPi=-0.6809, Steps to Finish=700
📊 Episode 47 (Route 0): Reward=-2.37, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=-1.86, SpeedReward=1.78, TTC_Penalty=0.00, AccPenalty=-0.01, LowSpeedPenalty=-3.29, Actor Loss=-0.478147, Critic1 Loss=0.009743, Critic2 Loss=0.008592, Alpha=0.1793, AvgQ=0.3560, AvgLogPi=-0.6811, Steps to Finish=700
📊 Episode 48 (Route 0): Reward=-3.32, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.06, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.38, Actor Loss=-0.493305, Critic1 Loss=0.009306, Critic2 Loss=0.008454, Alpha=0.1768, AvgQ=0.3729, AvgLogPi=-0.6810, Steps to Finish=700
📊 Episode 49 (Route 0): Reward=-5.06, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.38, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.44, Actor Loss=-0.505068, Critic1 Loss=0.008898, Critic2 Loss=0.008217, Alpha=0.1744, AvgQ=0.3862, AvgLogPi=-0.6814, Steps to Finish=700
