📊 Episode 40 (Route 0): Reward=-5.01, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.29, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.29, Actor Loss=-0.421270, Critic1 Loss=0.006273, Critic2 Loss=0.006825, Alpha=0.1907, AvgQ=0.2913, AvgLogPi=-0.6817, Steps to Finish=700
📊 Episode 41 (Route 0): Reward=-4.52, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.52, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.04, Actor Loss=-0.428695, Critic1 Loss=0.004485, Critic2 Loss=0.004593, Alpha=0.1881, AvgQ=0.3003, AvgLogPi=-0.6825, Steps to Finish=700
📊 Episode 42 (Route 0): Reward=1.16, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=1.86, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-1.69, Actor Loss=-0.442084, Critic1 Loss=0.005874, Critic2 Loss=0.006278, Alpha=0.1855, AvgQ=0.3155, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 43 (Route 0): Reward=-4.86, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.35, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.20, Actor Loss=-0.450974, Critic1 Loss=0.004926, Critic2 Loss=0.005163, Alpha=0.1830, AvgQ=0.3261, AvgLogPi=-0.6823, Steps to Finish=700
📊 Episode 44 (Route 0): Reward=-4.68, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.40, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.08, Actor Loss=-0.458912, Critic1 Loss=0.005296, Critic2 Loss=0.005415, Alpha=0.1805, AvgQ=0.3358, AvgLogPi=-0.6819, Steps to Finish=700
📊 Episode 45 (Route 0): Reward=-3.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.91, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.53, Actor Loss=-0.467672, Critic1 Loss=0.004334, Critic2 Loss=0.004363, Alpha=0.1780, AvgQ=0.3461, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 46 (Route 0): Reward=-3.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.11, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.41, Actor Loss=-0.476987, Critic1 Loss=0.005663, Critic2 Loss=0.005774, Alpha=0.1755, AvgQ=0.3571, AvgLogPi=-0.6831, Steps to Finish=700
📊 Episode 47 (Route 0): Reward=-2.54, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.48, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.02, Actor Loss=-0.488030, Critic1 Loss=0.005464, Critic2 Loss=0.005534, Alpha=0.1731, AvgQ=0.3698, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 48 (Route 0): Reward=-4.38, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.63, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.01, Actor Loss=-0.495804, Critic1 Loss=0.004453, Critic2 Loss=0.004474, Alpha=0.1708, AvgQ=0.3795, AvgLogPi=-0.6812, Steps to Finish=700
📊 Episode 49 (Route 0): Reward=-4.43, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.46, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.89, Actor Loss=-0.505392, Critic1 Loss=0.004485, Critic2 Loss=0.004512, Alpha=0.1684, AvgQ=0.3904, AvgLogPi=-0.6825, Steps to Finish=700
📊 Episode 50 (Route 0): Reward=-1.96, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.02, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.99, Actor Loss=-0.508641, Critic1 Loss=0.005170, Critic2 Loss=0.005179, Alpha=0.1661, AvgQ=0.3953, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 51 (Route 0): Reward=-4.09, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.61, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.69, Actor Loss=-0.517773, Critic1 Loss=0.005305, Critic2 Loss=0.005265, Alpha=0.1638, AvgQ=0.4060, AvgLogPi=-0.6820, Steps to Finish=700
📊 Episode 52 (Route 0): Reward=-4.26, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.63, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.89, Actor Loss=-0.531081, Critic1 Loss=0.005349, Critic2 Loss=0.005335, Alpha=0.1616, AvgQ=0.4208, AvgLogPi=-0.6824, Steps to Finish=700
📊 Episode 53 (Route 0): Reward=-4.12, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.58, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.69, Actor Loss=-0.535007, Critic1 Loss=0.004362, Critic2 Loss=0.004279, Alpha=0.1594, AvgQ=0.4262, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 54 (Route 0): Reward=-3.86, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.94, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.80, Actor Loss=-0.548385, Critic1 Loss=0.005046, Critic2 Loss=0.005045, Alpha=0.1572, AvgQ=0.4414, AvgLogPi=-0.6806, Steps to Finish=700
📊 Episode 55 (Route 0): Reward=-1.67, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.00, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-2.67, Actor Loss=-0.555559, Critic1 Loss=0.004765, Critic2 Loss=0.004722, Alpha=0.1550, AvgQ=0.4496, AvgLogPi=-0.6833, Steps to Finish=700
📊 Episode 56 (Route 0): Reward=-5.00, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.31, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.31, Actor Loss=-0.565071, Critic1 Loss=0.004736, Critic2 Loss=0.004730, Alpha=0.1529, AvgQ=0.4607, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 57 (Route 0): Reward=-3.39, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.10, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.49, Actor Loss=-0.571254, Critic1 Loss=0.004499, Critic2 Loss=0.004427, Alpha=0.1508, AvgQ=0.4683, AvgLogPi=-0.6824, Steps to Finish=700
📊 Episode 58 (Route 0): Reward=-0.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=1.00, SP_Penalty=0.00, SpeedReward=1.89, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.33, Actor Loss=-0.584572, Critic1 Loss=0.004548, Critic2 Loss=0.004511, Alpha=0.1488, AvgQ=0.4830, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 59 (Route 0): Reward=-2.55, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.23, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.78, Actor Loss=-0.590765, Critic1 Loss=0.003501, Critic2 Loss=0.003440, Alpha=0.1467, AvgQ=0.4906, AvgLogPi=-0.6823, Steps to Finish=700
📊 Episode 60 (Route 0): Reward=-2.25, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.05, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.30, Actor Loss=-0.600729, Critic1 Loss=0.004076, Critic2 Loss=0.004059, Alpha=0.1447, AvgQ=0.5020, AvgLogPi=-0.6819, Steps to Finish=700
📊 Episode 61 (Route 0): Reward=-3.41, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.96, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.37, Actor Loss=-0.607628, Critic1 Loss=0.004375, Critic2 Loss=0.004362, Alpha=0.1427, AvgQ=0.5103, AvgLogPi=-0.6820, Steps to Finish=700
📊 Episode 62 (Route 0): Reward=-3.87, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.90, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-4.77, Actor Loss=-0.615361, Critic1 Loss=0.004577, Critic2 Loss=0.004565, Alpha=0.1408, AvgQ=0.5193, AvgLogPi=-0.6822, Steps to Finish=700
📊 Episode 63 (Route 0): Reward=-2.29, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.96, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.26, Actor Loss=-0.625132, Critic1 Loss=0.005055, Critic2 Loss=0.005059, Alpha=0.1388, AvgQ=0.5303, AvgLogPi=-0.6829, Steps to Finish=700
📊 Episode 64 (Route 0): Reward=-2.48, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.97, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.45, Actor Loss=-0.632224, Critic1 Loss=0.004312, Critic2 Loss=0.004361, Alpha=0.1369, AvgQ=0.5387, AvgLogPi=-0.6826, Steps to Finish=700
📊 Episode 65 (Route 0): Reward=-2.30, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.61, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.92, Actor Loss=-0.639195, Critic1 Loss=0.003448, Critic2 Loss=0.003457, Alpha=0.1351, AvgQ=0.5473, AvgLogPi=-0.6807, Steps to Finish=700
📊 Episode 66 (Route 0): Reward=-2.80, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.16, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-3.96, Actor Loss=-0.645675, Critic1 Loss=0.005124, Critic2 Loss=0.005131, Alpha=0.1332, AvgQ=0.5548, AvgLogPi=-0.6823, Steps to Finish=700
